Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
09/27/2023,01/01/2020,09/23/2023,MI,Shiawassee County,5,26,155,26155,Distribution of COVID-19 deaths (%),2898,184,0.957,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Shiawassee County,5,26,155,26155,Distribution of population (%),2898,184,0.938,0.007,0.004,0.005,0,0.031,0.015,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MI,Van Buren County,3,26,159,26159,Distribution of all-cause deaths (%),2204,125,0.892,0.054,,,,0.029,0.019,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Van Buren County,3,26,159,26159,Distribution of COVID-19 deaths (%),2204,125,0.84,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Van Buren County,3,26,159,26159,Distribution of population (%),2204,125,0.808,0.035,0.007,0.006,0,0.119,0.025,Medium metro,
09/27/2023,01/01/2020,09/23/2023,MI,Washtenaw County,3,26,161,26161,Distribution of all-cause deaths (%),15495,1352,0.815,0.128,0.002,0.022,,0.023,0.01,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Washtenaw County,3,26,161,26161,Distribution of COVID-19 deaths (%),15495,1352,0.751,0.186,,0.018,,0.038,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Washtenaw County,3,26,161,26161,Distribution of population (%),15495,1352,0.7,0.119,0.003,0.092,0,0.051,0.034,Medium metro,
09/27/2023,01/01/2020,09/23/2023,MI,Wayne County,1,26,163,26163,Distribution of all-cause deaths (%),76992,7626,0.538,0.407,0.002,0.01,,0.028,0.014,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Wayne County,1,26,163,26163,Distribution of COVID-19 deaths (%),76992,7626,0.501,0.429,0.002,0.013,,0.039,0.016,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Wayne County,1,26,163,26163,Distribution of population (%),76992,7626,0.492,0.382,0.003,0.035,0,0.063,0.025,Large central metro,
09/27/2023,01/01/2020,09/23/2023,MI,Wexford County,5,26,165,26165,Distribution of all-cause deaths (%),1538,141,0.984,,,,,,0.008,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Wexford County,5,26,165,26165,Distribution of COVID-19 deaths (%),1538,141,0.993,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MI,Wexford County,5,26,165,26165,Distribution of population (%),1538,141,0.94,0.006,0.006,0.007,0.001,0.023,0.017,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,Anoka County,2,27,3,27003,Distribution of all-cause deaths (%),9262,975,0.91,0.035,0.008,0.026,,0.012,0.009,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Anoka County,2,27,3,27003,Distribution of COVID-19 deaths (%),9262,975,0.879,0.04,0.015,0.036,,0.023,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Anoka County,2,27,3,27003,Distribution of population (%),9262,975,0.784,0.078,0.006,0.053,0,0.05,0.028,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MN,Beltrami County,5,27,7,27007,Distribution of all-cause deaths (%),1692,149,0.83,,0.144,,,0.007,0.009,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Beltrami County,5,27,7,27007,Distribution of COVID-19 deaths (%),1692,149,0.799,,0.188,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Beltrami County,5,27,7,27007,Distribution of population (%),1692,149,0.719,0.007,0.21,0.007,0.001,0.025,0.032,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,Benton County,4,27,9,27009,Distribution of all-cause deaths (%),1170,118,0.974,0.01,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Benton County,4,27,9,27009,Distribution of COVID-19 deaths (%),1170,118,0.975,,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Benton County,4,27,9,27009,Distribution of population (%),1170,118,0.88,0.052,0.004,0.011,0.001,0.03,0.022,Small metro,
09/27/2023,01/01/2020,09/23/2023,MN,Blue Earth County,4,27,13,27013,Distribution of all-cause deaths (%),2468,186,0.959,0.013,,0.006,,0.014,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Blue Earth County,4,27,13,27013,Distribution of COVID-19 deaths (%),2468,186,0.941,,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Blue Earth County,4,27,13,27013,Distribution of population (%),2468,186,0.865,0.045,0.003,0.024,0.001,0.041,0.021,Small metro,
09/27/2023,01/01/2020,09/23/2023,MN,Carver County,2,27,19,27019,Distribution of all-cause deaths (%),2124,146,0.972,0.01,,0.006,,0.008,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Carver County,2,27,19,27019,Distribution of COVID-19 deaths (%),2124,146,0.966,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Carver County,2,27,19,27019,Distribution of population (%),2124,146,0.88,0.021,0.002,0.035,0,0.044,0.018,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MN,Chisago County,2,27,25,27025,Distribution of all-cause deaths (%),1745,110,0.978,,,,,0.006,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Chisago County,2,27,25,27025,Distribution of COVID-19 deaths (%),1745,110,0.973,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Chisago County,2,27,25,27025,Distribution of population (%),1745,110,0.926,0.013,0.006,0.014,0,0.025,0.015,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MN,Crow Wing County,5,27,35,27035,Distribution of all-cause deaths (%),2636,191,0.974,,0.013,,,0.006,0.004,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Crow Wing County,5,27,35,27035,Distribution of COVID-19 deaths (%),2636,191,0.979,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Crow Wing County,5,27,35,27035,Distribution of population (%),2636,191,0.946,0.008,0.009,0.005,0,0.016,0.016,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,Dakota County,2,27,37,27037,Distribution of all-cause deaths (%),9073,618,0.92,0.031,0.003,0.021,,0.019,0.007,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Dakota County,2,27,37,27037,Distribution of COVID-19 deaths (%),9073,618,0.885,0.032,,0.036,,0.034,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Dakota County,2,27,37,27037,Distribution of population (%),9073,618,0.763,0.076,0.004,0.054,0.001,0.076,0.027,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MN,Douglas County,5,27,41,27041,Distribution of all-cause deaths (%),1649,123,0.99,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Douglas County,5,27,41,27041,Distribution of COVID-19 deaths (%),1649,123,1,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Douglas County,5,27,41,27041,Distribution of population (%),1649,123,0.955,0.007,0.004,0.006,0,0.019,0.01,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,Goodhue County,5,27,49,27049,Distribution of all-cause deaths (%),1776,127,0.959,0.008,0.014,,,0.008,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Goodhue County,5,27,49,27049,Distribution of COVID-19 deaths (%),1776,127,0.976,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Goodhue County,5,27,49,27049,Distribution of population (%),1776,127,0.915,0.014,0.012,0.007,0.001,0.036,0.016,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,Hennepin County,1,27,53,27053,Distribution of all-cause deaths (%),44653,4016,0.813,0.104,0.02,0.03,0,0.023,0.01,Large central metro,
09/27/2023,01/01/2020,09/23/2023,MN,Hennepin County,1,27,53,27053,Distribution of COVID-19 deaths (%),44653,4016,0.786,0.104,0.021,0.046,,0.037,0.006,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Hennepin County,1,27,53,27053,Distribution of population (%),44653,4016,0.681,0.137,0.006,0.076,0,0.07,0.03,Large central metro,
09/27/2023,01/01/2020,09/23/2023,MN,Itasca County,6,27,61,27061,Distribution of all-cause deaths (%),1854,126,0.94,,0.046,,,,0.006,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Itasca County,6,27,61,27061,Distribution of COVID-19 deaths (%),1854,126,0.889,,0.095,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Itasca County,6,27,61,27061,Distribution of population (%),1854,126,0.915,0.005,0.036,0.004,0,0.017,0.024,Noncore,
09/27/2023,01/01/2020,09/23/2023,MN,Kandiyohi County,5,27,67,27067,Distribution of all-cause deaths (%),1491,143,0.964,,,,,0.023,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Kandiyohi County,5,27,67,27067,Distribution of COVID-19 deaths (%),1491,143,0.958,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Kandiyohi County,5,27,67,27067,Distribution of population (%),1491,143,0.782,0.063,0.003,0.012,0.001,0.129,0.01,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,Olmsted County,4,27,109,27109,Distribution of all-cause deaths (%),8774,618,0.907,0.031,0.005,0.023,,0.022,0.011,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Olmsted County,4,27,109,27109,Distribution of COVID-19 deaths (%),8774,618,0.861,0.031,,0.034,,0.055,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Olmsted County,4,27,109,27109,Distribution of population (%),8774,618,0.784,0.07,0.003,0.065,0.001,0.054,0.024,Small metro,
09/27/2023,01/01/2020,09/23/2023,MN,Otter Tail County,5,27,111,27111,Distribution of all-cause deaths (%),2381,123,0.984,,0.005,,,0.004,0.005,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Otter Tail County,5,27,111,27111,Distribution of COVID-19 deaths (%),2381,123,0.976,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Otter Tail County,5,27,111,27111,Distribution of population (%),2381,123,0.921,0.016,0.006,0.006,0.001,0.038,0.014,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,Ramsey County,1,27,123,27123,Distribution of all-cause deaths (%),22172,2235,0.805,0.083,0.009,0.064,,0.03,0.009,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Ramsey County,1,27,123,27123,Distribution of COVID-19 deaths (%),22172,2235,0.759,0.077,0.01,0.104,,0.044,0.006,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Ramsey County,1,27,123,27123,Distribution of population (%),22172,2235,0.604,0.127,0.006,0.155,0,0.076,0.032,Large central metro,
09/27/2023,01/01/2020,09/23/2023,MN,Rice County,5,27,131,27131,Distribution of all-cause deaths (%),1780,136,0.964,0.01,,,,0.017,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Rice County,5,27,131,27131,Distribution of COVID-19 deaths (%),1780,136,0.956,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Rice County,5,27,131,27131,Distribution of population (%),1780,136,0.808,0.063,0.004,0.021,0.001,0.086,0.016,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MN,St. Louis County,3,27,137,27137,Distribution of all-cause deaths (%),11323,911,0.945,0.008,0.034,0.002,,0.004,0.006,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,St. Louis County,3,27,137,27137,Distribution of COVID-19 deaths (%),11323,911,0.941,,0.042,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,St. Louis County,3,27,137,27137,Distribution of population (%),11323,911,0.908,0.016,0.021,0.011,0,0.019,0.025,Medium metro,
09/27/2023,01/01/2020,09/23/2023,MN,Scott County,2,27,139,27139,Distribution of all-cause deaths (%),2776,196,0.915,0.021,0.01,0.03,,0.018,0.006,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Scott County,2,27,139,27139,Distribution of COVID-19 deaths (%),2776,196,0.903,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Scott County,2,27,139,27139,Distribution of population (%),2776,196,0.791,0.056,0.008,0.065,0.001,0.055,0.024,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MN,Sherburne County,2,27,141,27141,Distribution of all-cause deaths (%),1926,110,0.965,0.005,0.005,0.006,,0.015,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Sherburne County,2,27,141,27141,Distribution of COVID-19 deaths (%),1926,110,0.955,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Sherburne County,2,27,141,27141,Distribution of population (%),1926,110,0.898,0.034,0.005,0.014,0,0.028,0.02,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MN,Stearns County,4,27,145,27145,Distribution of all-cause deaths (%),6898,728,0.947,0.022,0.009,0.005,,0.012,0.005,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Stearns County,4,27,145,27145,Distribution of COVID-19 deaths (%),6898,728,0.938,0.016,,,,0.018,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Stearns County,4,27,145,27145,Distribution of population (%),6898,728,0.834,0.084,0.003,0.023,0.001,0.038,0.018,Small metro,
09/27/2023,01/01/2020,09/23/2023,MN,Washington County,2,27,163,27163,Distribution of all-cause deaths (%),6157,450,0.937,0.017,0.002,0.024,,0.013,0.007,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Washington County,2,27,163,27163,Distribution of COVID-19 deaths (%),6157,450,0.929,,,0.033,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Washington County,2,27,163,27163,Distribution of population (%),6157,450,0.806,0.051,0.004,0.068,0.001,0.046,0.024,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MN,Wright County,2,27,171,27171,Distribution of all-cause deaths (%),2860,219,0.976,0.008,,,,0.007,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Wright County,2,27,171,27171,Distribution of COVID-19 deaths (%),2860,219,0.991,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MN,Wright County,2,27,171,27171,Distribution of population (%),2860,219,0.912,0.019,0.003,0.014,0,0.033,0.018,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MO,Boone County,4,29,19,29019,Distribution of all-cause deaths (%),9165,879,0.897,0.07,0.002,0.009,,0.013,0.008,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Boone County,4,29,19,29019,Distribution of COVID-19 deaths (%),9165,879,0.882,0.068,,,,0.026,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Boone County,4,29,19,29019,Distribution of population (%),9165,879,0.781,0.097,0.003,0.05,0.001,0.036,0.032,Small metro,
09/27/2023,01/01/2020,09/23/2023,MO,Buchanan County,4,29,21,29021,Distribution of all-cause deaths (%),4772,484,0.941,0.034,,0.002,0.002,0.014,0.005,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Buchanan County,4,29,21,29021,Distribution of COVID-19 deaths (%),4772,484,0.924,0.033,,,,0.021,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Buchanan County,4,29,21,29021,Distribution of population (%),4772,484,0.826,0.056,0.004,0.016,0.004,0.068,0.026,Small metro,
09/27/2023,01/01/2020,09/23/2023,MO,Butler County,5,29,23,29023,Distribution of all-cause deaths (%),2991,297,0.947,0.044,,,,0.004,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Butler County,5,29,23,29023,Distribution of COVID-19 deaths (%),2991,297,0.956,0.044,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Butler County,5,29,23,29023,Distribution of population (%),2991,297,0.879,0.056,0.006,0.01,0,0.023,0.026,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MO,Camden County,6,29,29,29029,Distribution of all-cause deaths (%),2636,275,0.977,0.005,,,,0.004,0.01,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Camden County,6,29,29,29029,Distribution of COVID-19 deaths (%),2636,275,0.982,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Camden County,6,29,29,29029,Distribution of population (%),2636,275,0.938,0.006,0.006,0.006,0,0.03,0.013,Noncore,
09/27/2023,01/01/2020,09/23/2023,MO,Cape Girardeau County,4,29,31,29031,Distribution of all-cause deaths (%),5515,551,0.927,0.059,,0.003,,0.006,0.004,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Cape Girardeau County,4,29,31,29031,Distribution of COVID-19 deaths (%),5515,551,0.913,0.071,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Cape Girardeau County,4,29,31,29031,Distribution of population (%),5515,551,0.854,0.077,0.002,0.019,0,0.025,0.023,Small metro,
09/27/2023,01/01/2020,09/23/2023,MO,Cass County,2,29,37,29037,Distribution of all-cause deaths (%),3317,168,0.935,0.041,,,,0.012,0.006,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Cass County,2,29,37,29037,Distribution of COVID-19 deaths (%),3317,168,0.893,0.071,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Cass County,2,29,37,29037,Distribution of population (%),3317,168,0.868,0.046,0.005,0.008,0.001,0.048,0.024,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MO,Clay County,2,29,47,29047,Distribution of all-cause deaths (%),9946,1098,0.895,0.045,0.003,0.009,0.003,0.035,0.01,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MO,Clay County,2,29,47,29047,Distribution of COVID-19 deaths (%),9946,1098,0.872,0.045,,0.013,,0.05,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Clay County,2,29,47,29047,Distribution of population (%),9946,1098,0.796,0.072,0.005,0.025,0.003,0.072,0.027,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MO,Clinton County,2,29,49,29049,Distribution of all-cause deaths (%),1121,121,0.969,0.017,,,,,0.009,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Clinton County,2,29,49,29049,Distribution of COVID-19 deaths (%),1121,121,0.967,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Clinton County,2,29,49,29049,Distribution of population (%),1121,121,0.932,0.013,0.006,0.005,0,0.025,0.019,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MO,Cole County,4,29,51,29051,Distribution of all-cause deaths (%),3746,538,0.931,0.051,,0.003,,0.01,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Cole County,4,29,51,29051,Distribution of COVID-19 deaths (%),3746,538,0.935,0.046,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Cole County,4,29,51,29051,Distribution of population (%),3746,538,0.815,0.117,0.003,0.014,0.001,0.029,0.021,Small metro,
09/27/2023,01/01/2020,09/23/2023,MO,Crawford County,6,29,55,29055,Distribution of all-cause deaths (%),1184,118,0.979,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Crawford County,6,29,55,29055,Distribution of COVID-19 deaths (%),1184,118,0.966,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Crawford County,6,29,55,29055,Distribution of population (%),1184,118,0.948,0.006,0.005,0.003,0.001,0.022,0.015,Noncore,
09/27/2023,01/01/2020,09/23/2023,MO,Franklin County,2,29,71,29071,Distribution of all-cause deaths (%),3945,330,0.979,0.011,,0.003,,0.003,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Franklin County,2,29,71,29071,Distribution of COVID-19 deaths (%),3945,330,0.982,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Franklin County,2,29,71,29071,Distribution of population (%),3945,330,0.949,0.009,0.003,0.005,0.001,0.019,0.014,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,MO,Greene County,3,29,77,29077,Distribution of all-cause deaths (%),19190,2278,0.952,0.02,0.004,0.005,0.001,0.011,0.007,Medium metro,
09/27/2023,01/01/2020,09/23/2023,MO,Greene County,3,29,77,29077,Distribution of COVID-19 deaths (%),19190,2278,0.942,0.018,0.011,0.006,,0.018,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Greene County,3,29,77,29077,Distribution of population (%),19190,2278,0.869,0.033,0.006,0.023,0.001,0.04,0.028,Medium metro,
09/27/2023,01/01/2020,09/23/2023,MO,Howell County,5,29,91,29091,Distribution of all-cause deaths (%),2411,224,0.974,0.005,0.004,,,0.005,0.009,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Howell County,5,29,91,29091,Distribution of COVID-19 deaths (%),2411,224,0.969,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,MO,Howell County,5,29,91,29091,Distribution of population (%),2411,224,0.94,0.005,0.007,0.007,0,0.024,0.016,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,MO,Jackson County,1,29,95,29095,Distribution of all-cause deaths (%),33374,2912,0.725,0.214,0.003,0.008,0.002,0.036,0.012,Large central metro,
09/27/2023,01/01/2020,09/23/2023,MO,Jackson County,1,29,95,29095,Distribution of COVID-19 deaths (%),33374,2912,0.706,0.202,0.005,0.013,0.005,0.056,0.012,Large central metro,
09/27/2023,01/01/2020,09/23/2023,MO,Jackson County,1,29,95,29095,Distribution of population (%),33374,2912,0.619,0.231,0.004,0.02,0.003,0.094,0.03,Large central metro,
